Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Carcinogen,Unit of Measure,Total Releases
324121,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
324121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0.1
221112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,7.479
325199,EPICHLOROHYDRIN,1,0,1,Pounds,0
331421,COPPER,0,1,0,Pounds,0.1
325193,AMMONIA,0,0,0,Pounds,0
424710,METHYL TERT-BUTYL ETHER,1,0,0,Pounds,0
424710,CUMENE,1,0,0,Pounds,0
311513,NITRIC ACID,0,0,0,Pounds,0
424710,N-HEXANE,1,0,0,Pounds,0
424710,TOLUENE,1,0,0,Pounds,249
221112,METHANOL,1,0,0,Pounds,6320
424710,METHYL TERT-BUTYL ETHER,1,0,0,Pounds,0
424710,METHYL TERT-BUTYL ETHER,1,0,0,Pounds,0
332313,COPPER,0,1,0,Pounds,2
332313,NICKEL,1,1,1,Pounds,3
424690,METHANOL,1,0,0,Pounds,895
325992,N-BUTYL ALCOHOL,0,0,0,Pounds,5449
325199,PHOSGENE,1,0,0,Pounds,0
424710,CUMENE,1,0,0,Pounds,0
424710,METHYL TERT-BUTYL ETHER,1,0,0,Pounds,0
424710,124-TRIMETHYLBENZENE,0,0,0,Pounds,0
424710,N-HEXANE,1,0,0,Pounds,0
311513,NITRATE COMPOUNDS,0,0,0,Pounds,5
325992,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,2.40003
331492,COPPER,0,1,0,Pounds,0
424690,METHYL METHACRYLATE,1,0,0,Pounds,61
325510,METHANOL,1,0,0,Pounds,5
331492,NITRIC ACID,0,0,0,Pounds,0
424690,DICHLORODIFLUOROMETHANE,0,0,0,Pounds,3457
325199,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),1,0,0,Pounds,1719
325199,PHOSGENE,1,0,0,Pounds,209
324121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0.299
334511,LEAD,1,1,1,Pounds,0.9
424710,BENZO(GHI)PERYLENE,1,0,1,Pounds,0.5
326150,DIISOCYANATES,1,0,0,Pounds,447
311513,NITRIC ACID,0,0,0,Pounds,24
334417,COPPER,0,1,0,Pounds,1294.98
424710,N-HEXANE,1,0,0,Pounds,255
325910,ETHYLENE GLYCOL,1,0,0,Pounds,0
424710,124-TRIMETHYLBENZENE,0,0,0,Pounds,10
332410,LEAD,1,1,1,Pounds,1.031
424710,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
331492,NITRATE COMPOUNDS,0,0,0,Pounds,5.6
424710,VINYL ACETATE,1,0,1,Pounds,0
324199,TOLUENE,1,0,0,Pounds,2330
332994,NITRATE COMPOUNDS,0,0,0,Pounds,0
325510,SILVER,0,1,0,Pounds,8.7
336399,LEAD,1,1,1,Pounds,1.313
327993,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,0,Pounds,396
332813,NITRIC ACID,0,0,0,Pounds,1500
336510,COPPER,0,1,0,Pounds,13
325193,FORMALDEHYDE,1,0,1,Pounds,2171.23
327993,LEAD,1,1,1,Pounds,114
333315,MANGANESE COMPOUNDS,1,1,0,Pounds,889
325188,FORMALDEHYDE,1,0,1,Pounds,662
221112,BENZO(GHI)PERYLENE,1,0,1,Pounds,0.04
331315,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),1,0,0,Pounds,29319
325320,CARBOFURAN,0,0,0,Pounds,255
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0
221112,DIOXIN AND DIOXIN-LIKE COMPOUNDS,1,0,0,Grams,0.205
221112,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),1,0,0,Pounds,38000
327113,BARIUM,0,1,0,Pounds,0
331221,HYDROGEN FLUORIDE,1,0,0,Pounds,500
332813,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),1,0,0,Pounds,0
327113,PHENOL,1,0,0,Pounds,0
336412,NITRATE COMPOUNDS,0,0,0,Pounds,0
322222,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0
325520,DICHLOROMETHANE,1,0,1,Pounds,500
333912,TOLUENE,1,0,0,Pounds,6750
336391,NICKEL,1,1,1,Pounds,723
424710,124-TRIMETHYLBENZENE,0,0,0,Pounds,33.3
333415,COPPER,0,1,0,Pounds,15
332618,CADMIUM,1,1,1,Pounds,38.253
331111,CHROMIUM,1,1,1,Pounds,3288
311119,ZINC COMPOUNDS,0,1,0,Pounds,0
312120,AMMONIA,0,0,0,Pounds,3257
311513,NITRIC ACID,0,0,0,Pounds,0
335929,COPPER,0,1,0,Pounds,6
221112,N-HEXANE,1,0,0,Pounds,3.89
334413,OZONE,0,0,0,Pounds,10
327992,DI(2-ETHYLHEXYL) PHTHALATE,1,0,1,Pounds,5.52
311513,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0
331111,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,0,Pounds,38.962
424710,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
331491,NITRIC ACID,0,0,0,Pounds,47474
333911,NICKEL,1,1,1,Pounds,410
311514,TOLUENE,1,0,0,Pounds,91000
326150,MIXTURE,0,0,0,Pounds,10
424710,ETHYLENE GLYCOL,1,0,0,Pounds,0.08
424710,LEAD COMPOUNDS,1,1,0,Pounds,0
311821,AMMONIA,0,0,0,Pounds,27550
325199,ACETALDEHYDE,1,0,1,Pounds,0
327992,PROPARGYL ALCOHOL,0,0,0,Pounds,13.46
325211,XYLENE (MIXED ISOMERS),1,0,0,Pounds,8840
424710,BENZO(GHI)PERYLENE,1,0,1,Pounds,0.35
339114,LEAD COMPOUNDS,1,1,0,Pounds,105.39
424710,XYLENE (MIXED ISOMERS),1,0,0,Pounds,3611
327992,TETRACHLOROETHYLENE,1,0,1,Pounds,8.12
327992,VINYL ACETATE,1,0,1,Pounds,3.86
424710,BENZENE,1,0,1,Pounds,0
424710,N-HEXANE,1,0,0,Pounds,0
424710,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
424710,TOLUENE,1,0,0,Pounds,2775
335314,LEAD,1,1,1,Pounds,56.5
221112,XYLENE (MIXED ISOMERS),1,0,0,Pounds,209.5
334111,LEAD COMPOUNDS,1,1,0,Pounds,100.5
327992,12-DICHLOROETHANE,1,0,1,Pounds,0.56
221112,N-HEXANE,1,0,0,Pounds,0.09
325120,HYDROGEN FLUORIDE,1,0,0,Pounds,281
327992,ACETALDEHYDE,1,0,1,Pounds,0.48
424710,124-TRIMETHYLBENZENE,0,0,0,Pounds,77
424710,NAPHTHALENE,1,0,0,Pounds,0.96
325199,O-TOLUIDINE,1,0,1,Pounds,3491
322121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0
424710,BENZENE,1,0,1,Pounds,99
335932,COPPER COMPOUNDS,0,1,0,Pounds,0
311513,NITRATE COMPOUNDS,0,0,0,Pounds,10555
322121,BENZO(GHI)PERYLENE,1,0,1,Pounds,0.00003
325991,METHYL ISOBUTYL KETONE,1,0,0,Pounds,260
333912,MANGANESE,1,1,0,Pounds,65
424710,LEAD COMPOUNDS,1,1,0,Pounds,0
335932,LEAD,1,1,1,Pounds,1.52
221112,BENZO(GHI)PERYLENE,1,0,1,Pounds,0.01
336510,NICKEL,1,1,1,Pounds,16.2
424710,124-TRIMETHYLBENZENE,0,0,0,Pounds,53
333132,CHROMIUM,1,1,1,Pounds,18
424710,N-HEXANE,1,0,0,Pounds,723
339999,CERTAIN GLYCOL ETHERS,1,0,0,Pounds,29
335931,COPPER,0,1,0,Pounds,0
325211,PHENOL,1,0,0,Pounds,376
333132,CERTAIN GLYCOL ETHERS,1,0,0,Pounds,5160
221112,MERCURY COMPOUNDS,1,1,0,Pounds,65
339999,TRICHLOROETHYLENE,1,0,1,Pounds,324
221112,THALLIUM COMPOUNDS,0,1,0,Pounds,48
424710,ETHYLBENZENE,1,0,0,Pounds,628
212399,LEAD COMPOUNDS,1,1,0,Pounds,500
325510,LEAD,1,1,1,Pounds,0.769
334412,NITRATE COMPOUNDS,0,0,0,Pounds,0
332510,MANGANESE,1,1,0,Pounds,24.28
326199,DI(2-ETHYLHEXYL) PHTHALATE,1,0,1,Pounds,100190
311511,NITRIC ACID,0,0,0,Pounds,0
332112,CHROMIUM,1,1,1,Pounds,250
325188,SODIUM NITRITE,0,1,0,Pounds,10362.92
331421,NICKEL COMPOUNDS,1,1,0,Pounds,19.2
424690,124-TRIMETHYLBENZENE,0,0,0,Pounds,0
336413,LEAD,1,1,1,Pounds,0
335931,LEAD COMPOUNDS,1,1,0,Pounds,0
332813,NITRATE COMPOUNDS,0,0,0,Pounds,0
424710,ETHYLBENZENE,1,0,0,Pounds,73
424710,XYLENE (MIXED ISOMERS),1,0,0,Pounds,196
332813,NITRIC ACID,0,0,0,Pounds,3220
312120,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0.001
325193,CYCLOHEXANE,0,0,0,Pounds,0
221112,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),1,0,0,Pounds,4758
332211,NICKEL,1,1,1,Pounds,0
333912,METHANOL,1,0,0,Pounds,250
311511,NITRIC ACID,0,0,0,Pounds,1.09
221119,AMMONIA,0,0,0,Pounds,1336
332710,COPPER,0,1,0,Pounds,0
332431,N-BUTYL ALCOHOL,0,0,0,Pounds,63808
331492,COPPER,0,1,0,Pounds,21.26
221112,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
311919,NITRATE COMPOUNDS,0,0,0,Pounds,0
326220,TOLUENE,1,0,0,Pounds,5647.3
424690,NITRATE COMPOUNDS,0,0,0,Pounds,0
424710,ETHYLBENZENE,1,0,0,Pounds,225.04
325188,SILVER,0,1,0,Pounds,5.1
332322,NICKEL,1,1,1,Pounds,505
339991,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0
334412,NITRIC ACID,0,0,0,Pounds,463.16
324121,FORMALDEHYDE,1,0,1,Pounds,620
332117,NICKEL,1,1,1,Pounds,5667
312111,AMMONIA,0,0,0,Pounds,0
424710,METHYL TERT-BUTYL ETHER,1,0,0,Pounds,0
322121,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
221112,NAPHTHALENE,1,0,0,Pounds,0
336350,NICKEL,1,1,1,Pounds,0
332618,COPPER,0,1,0,Pounds,16.077
424710,124-TRIMETHYLBENZENE,0,0,0,Pounds,3.78
326299,TOLUENE,1,0,0,Pounds,10327
325992,PYRIDINE,0,0,0,Pounds,1126
324199,ANTHRACENE,0,0,0,Pounds,5.5
324199,NAPHTHALENE,1,0,0,Pounds,3594
327320,LEAD,1,1,1,Pounds,0.27666
327992,CARBON TETRACHLORIDE,1,0,1,Pounds,0.58
311513,NITRIC ACID,0,0,0,Pounds,5
332431,LEAD,1,1,1,Pounds,7.71
424710,ETHYLBENZENE,1,0,0,Pounds,9.31
424710,METHYL TERT-BUTYL ETHER,1,0,0,Pounds,0
325414,METHANOL,1,0,0,Pounds,1070
331492,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,0,Pounds,5
331492,NICKEL,1,1,1,Pounds,0
327992,FREON 113,0,0,0,Pounds,6.52
327992,METHYL ISOBUTYL KETONE,1,0,0,Pounds,37.62
333911,NICKEL,1,1,1,Pounds,250
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0.073
424710,ETHYLBENZENE,1,0,0,Pounds,203.9
326150,DIISOCYANATES,1,0,0,Pounds,0
311119,ZINC COMPOUNDS,0,1,0,Pounds,0
337122,DIOXIN AND DIOXIN-LIKE COMPOUNDS,1,0,0,Grams,0.1043
221112,AMMONIA,0,0,0,Pounds,107478
325181,CHLORINE,1,0,0,Pounds,1659
331112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,68.33
424710,NAPHTHALENE,1,0,0,Pounds,2
221112,AMMONIA,0,0,0,Pounds,5376
334412,LEAD,1,1,1,Pounds,2.3
322222,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
333611,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,15.1
327992,PHENOL,1,0,0,Pounds,11.74
424690,O-XYLENE,1,0,0,Pounds,0
325211,FORMALDEHYDE,1,0,1,Pounds,658
325211,PHENOL,1,0,0,Pounds,30446
334417,POLYCHLORINATED BIPHENYLS,1,0,1,Pounds,18.5
327999,LITHIUM CARBONATE,0,1,0,Pounds,1811.4
334414,LEAD COMPOUNDS,1,1,0,Pounds,3890.59
325132,CATECHOL,1,0,0,Pounds,0
325132,ZINC COMPOUNDS,0,1,0,Pounds,0
326199,DIISOCYANATES,1,0,0,Pounds,250
325188,BARIUM COMPOUNDS,0,1,0,Pounds,3029
325188,LEAD COMPOUNDS,1,1,0,Pounds,626.6
424710,BENZENE,1,0,1,Pounds,871
339991,TOLUENE DIISOCYANATE (MIXED ISOMERS),0,0,1,Pounds,5
332313,COPPER,0,1,0,Pounds,0
332912,LEAD,1,1,1,Pounds,0
424710,TOLUENE,1,0,0,Pounds,0
424690,METHANOL,1,0,0,Pounds,0
335912,MANGANESE COMPOUNDS,1,1,0,Pounds,94918
325412,COPPER COMPOUNDS,0,1,0,Pounds,0
424710,CYCLOHEXANE,0,0,0,Pounds,0
327310,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),1,0,0,Pounds,260000
333319,LEAD,1,1,1,Pounds,2.74
327310,MERCURY COMPOUNDS,1,1,0,Pounds,22
332811,AMMONIA,0,0,0,Pounds,1211.64
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0.596
321114,COPPER COMPOUNDS,0,1,0,Pounds,0
325920,LEAD COMPOUNDS,1,1,0,Pounds,216.84
325611,ZINC (FUME OR DUST),0,1,0,Pounds,0
332312,LEAD,1,1,1,Pounds,1.05
332312,MANGANESE,1,1,0,Pounds,134.17
327910,FORMALDEHYDE,1,0,1,Pounds,0
424710,NAPHTHALENE,1,0,0,Pounds,0
325188,AMMONIA,0,0,0,Pounds,121
325188,NITRATE COMPOUNDS,0,0,0,Pounds,0
322121,FORMIC ACID,0,0,0,Pounds,3238
332721,COPPER,0,1,0,Pounds,2.1
335312,LEAD,1,1,1,Pounds,0
327992,DICHLOROMETHANE,1,0,1,Pounds,846.67
327992,ETHYL ACRYLATE,1,0,1,Pounds,3.86
311513,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0
332313,MANGANESE,1,1,0,Pounds,6
322121,BENZO(GHI)PERYLENE,1,0,1,Pounds,0.0068
424690,ETHYLENE GLYCOL,1,0,0,Pounds,0
221112,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
322121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0.02
325188,NITRIC ACID,0,0,0,Pounds,500
221112,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),0,0,0,Pounds,68000
325188,CHLORINE,1,0,0,Pounds,1276
327910,FORMALDEHYDE,1,0,1,Pounds,801
221112,CHLORODIFLUOROMETHANE,0,0,0,Pounds,11008.6
337127,CHROMIUM,1,1,1,Pounds,5
212399,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),1,0,0,Pounds,152475
221112,VANADIUM COMPOUNDS,0,1,0,Pounds,71296
221112,NICKEL COMPOUNDS,1,1,0,Pounds,47093.61
333612,METHANOL,1,0,0,Pounds,500
333611,CHROMIUM,1,1,1,Pounds,10
562112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0
332112,COBALT,1,1,1,Pounds,12
335931,COPPER,0,1,0,Pounds,0.5375
424710,124-TRIMETHYLBENZENE,0,0,0,Pounds,124.24
424710,ETHYLBENZENE,1,0,0,Pounds,71.91
424710,NAPHTHALENE,1,0,0,Pounds,186.5
424710,XYLENE (MIXED ISOMERS),1,0,0,Pounds,630.56
334419,MANGANESE COMPOUNDS,1,1,0,Pounds,6347
324191,BARIUM COMPOUNDS,0,1,0,Pounds,14
324191,ZINC COMPOUNDS,0,1,0,Pounds,25.11
324191,ZINC COMPOUNDS,0,1,0,Pounds,5.41
311119,ETHYLENE GLYCOL,1,0,0,Pounds,2.8
311119,ETHYLENE OXIDE,1,0,1,Pounds,7
332812,TRICHLOROETHYLENE,1,0,1,Pounds,8591
316110,CHROMIUM,1,1,1,Pounds,2149
311511,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
311511,NITRATE COMPOUNDS,0,0,0,Pounds,0
311511,NITRIC ACID,0,0,0,Pounds,0
311511,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0
331221,MANGANESE,1,1,0,Pounds,22
331221,NICKEL,1,1,1,Pounds,16
336413,COPPER,0,1,0,Pounds,5
332431,FORMALDEHYDE,1,0,1,Pounds,2101
334412,LEAD COMPOUNDS,1,1,0,Pounds,1.8
332812,LEAD,1,1,1,Pounds,61
332431,CERTAIN GLYCOL ETHERS,1,0,0,Pounds,28000
332431,FORMALDEHYDE,1,0,1,Pounds,272
332431,LEAD,1,1,1,Pounds,4.93
334418,LEAD,1,1,1,Pounds,0
334418,LEAD,1,1,1,Pounds,0
313230,ANTIMONY COMPOUNDS,1,1,0,Pounds,11328
332721,CHROMIUM,1,1,1,Pounds,0.05
332721,LEAD,1,1,1,Pounds,0.1
313230,DECABROMODIPHENYL OXIDE,0,0,0,Pounds,18323
311411,CHLORINE,1,0,0,Pounds,5
325211,ALLYL CHLORIDE,1,0,0,Pounds,22
325211,AMMONIA,0,0,0,Pounds,406
325211,ETHYLBENZENE,1,0,0,Pounds,23
325211,METHANOL,1,0,0,Pounds,4247
325211,METHYL ISOBUTYL KETONE,1,0,0,Pounds,10
325211,O-CRESOL,1,0,0,Pounds,500
325211,TRIETHYLAMINE,1,0,0,Pounds,255
325211,XYLENE (MIXED ISOMERS),1,0,0,Pounds,714
326199,TRICHLOROETHYLENE,1,0,1,Pounds,33954
311512,NITRIC ACID,0,0,0,Pounds,0
311513,CHLORINE,1,0,0,Pounds,2887
311513,NITRIC ACID,0,0,0,Pounds,1050
327999,LEAD COMPOUNDS,1,1,0,Pounds,0.1
327999,LEAD COMPOUNDS,1,1,0,Pounds,0
221112,AMMONIA,0,0,0,Pounds,40967
332811,AMMONIA,0,0,0,Pounds,0
325412,PROPYLENE OXIDE,1,0,1,Pounds,424
332313,LEAD,1,1,1,Pounds,0
331512,CHROMIUM,1,1,1,Pounds,0
331512,NICKEL,1,1,1,Pounds,0
212231,CADMIUM COMPOUNDS,1,1,0,Pounds,26
212231,LEAD COMPOUNDS,1,1,0,Pounds,26
332812,ZINC COMPOUNDS,0,1,0,Pounds,360
424690,ETHYLENE GLYCOL,1,0,0,Pounds,2
424690,N-BUTYL ALCOHOL,0,0,0,Pounds,165
424690,STYRENE,1,0,1,Pounds,11
424690,TOLUENE,1,0,0,Pounds,393
336413,COPPER,0,1,0,Pounds,0
212231,MERCURY COMPOUNDS,1,1,0,Pounds,1
212231,ZINC COMPOUNDS,0,1,0,Pounds,1184
922140,LEAD,1,1,1,Pounds,619.63
928110,LEAD,1,1,1,Pounds,6804.9
311513,BENZO(GHI)PERYLENE,1,0,1,Pounds,0.00139
311513,NITRATE COMPOUNDS,0,0,0,Pounds,1602
311513,NITRIC ACID,0,0,0,Pounds,0
325611,METHANOL,1,0,0,Pounds,500
334411,LEAD COMPOUNDS,1,1,0,Pounds,2200
311919,PERACETIC ACID,0,0,0,Pounds,0
313320,N-METHYL-2-PYRROLIDONE,0,0,0,Pounds,799.02
313320,TOLUENE,1,0,0,Pounds,8989.17
334418,COPPER,0,1,0,Pounds,266.97
334418,LEAD,1,1,1,Pounds,41.22
332510,CHROMIUM,1,1,1,Pounds,7
332510,MANGANESE,1,1,0,Pounds,0
332510,NICKEL,1,1,1,Pounds,5
332992,CHROMIUM,1,1,1,Pounds,1602
332992,COPPER,0,1,0,Pounds,3385
332992,LEAD,1,1,1,Pounds,3583
322130,BENZO(GHI)PERYLENE,1,0,1,Pounds,0.3
322130,MERCURY,1,1,0,Pounds,1.056
322130,POLYCHLORINATED BIPHENYLS,1,0,1,Pounds,5.27
331419,LEAD,1,1,1,Pounds,0
333512,LEAD,1,1,1,Pounds,18
311999,AMMONIA,0,0,0,Pounds,5.3
331492,SILVER,0,1,0,Pounds,0.1
325181,CHLORINE,1,0,0,Pounds,1050
325181,DIOXIN AND DIOXIN-LIKE COMPOUNDS,1,0,0,Grams,0.38044
325181,HEXACHLOROBENZENE,1,0,1,Pounds,0.5
325181,HEXACHLOROCYCLOPENTADIENE,1,0,0,Pounds,329
221112,AMMONIA,0,0,0,Pounds,10658
331316,124-TRIMETHYLBENZENE,0,0,0,Pounds,420
331316,DIISOCYANATES,1,0,0,Pounds,0
331316,DIMETHYL PHTHALATE,1,0,0,Pounds,513
331316,ETHYLBENZENE,1,0,0,Pounds,662
331316,N-BUTYL ALCOHOL,0,0,0,Pounds,1073
331316,SODIUM NITRITE,0,1,0,Pounds,4018
331316,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),0,0,0,Pounds,7022
331316,TOLUENE,1,0,0,Pounds,3645
331316,XYLENE (MIXED ISOMERS),1,0,0,Pounds,6257
332431,124-TRIMETHYLBENZENE,0,0,0,Pounds,555
332431,CERTAIN GLYCOL ETHERS,1,0,0,Pounds,6525
332431,N-BUTYL ALCOHOL,0,0,0,Pounds,2570
339999,ANTIMONY,1,1,0,Pounds,46
339999,COPPER,0,1,0,Pounds,79
339999,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,15
325510,XYLENE (MIXED ISOMERS),1,0,0,Pounds,418
424690,CHLORINE,1,0,0,Pounds,1
424690,CHLORINE,1,0,0,Pounds,2
316110,FORMIC ACID,0,0,0,Pounds,500
311513,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
311513,NITRATE COMPOUNDS,0,0,0,Pounds,0
311513,NITRIC ACID,0,0,0,Pounds,0
311513,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0
325181,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),1,0,0,Pounds,787
311211,BROMOMETHANE,1,0,0,Pounds,11300
322121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0
311942,LEAD,1,1,1,Pounds,282.1
311942,MERCURY,1,1,0,Pounds,21.73
311942,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),0,0,0,Pounds,30052.8
334412,COPPER COMPOUNDS,0,1,0,Pounds,6787.1
334412,FORMALDEHYDE,1,0,1,Pounds,388
334412,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),0,0,0,Pounds,4017
334412,TOLUENE,1,0,0,Pounds,4303
332999,COPPER,0,1,0,Pounds,4682.88
334417,CADMIUM,1,1,1,Pounds,69
334417,CHROMIUM,1,1,1,Pounds,1939
334417,COPPER,0,1,0,Pounds,4529
334417,MERCURY,1,1,0,Pounds,0
334417,NITRATE COMPOUNDS,0,0,0,Pounds,167615
334417,NITRIC ACID,0,0,0,Pounds,6047
334417,TRICHLOROETHYLENE,1,0,1,Pounds,2357
335999,CUMENE,1,0,0,Pounds,500
335999,XYLENE (MIXED ISOMERS),1,0,0,Pounds,5014
335312,COPPER,0,1,0,Pounds,0
332999,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,0,Pounds,263
332999,NICKEL COMPOUNDS,1,1,0,Pounds,201
332999,TERT-BUTYL ALCOHOL,0,0,0,Pounds,22406
